post_id,thread_id,order,true_primary,true_secondary,pred_primary,pred_secondary
cad_21811,354,"354, 04, 02",PersonDirectedAbuse,PersonDirectedAbuse / directed to a person in the thread,PersonDirectedAbuse,NA
cad_5320,354,"354, 02, 02, 01",Neutral,"""NA""",Neutral,NA
cad_5362,354,"354, 04, 02, 01",Neutral,"""NA""",Neutral,NA
cad_5363,354,"354, 04, 01, 01",Neutral,"""NA""",Neutral,NA
cad_26379,354,354-title,Neutral,"""NA""",Neutral,NA
cad_252,354,354-post,Neutral,"""NA""",Neutral,NA
cad_5345,358,"358, 02",Neutral,"""NA""",Neutral,NA
cad_5348,358,"358, 03",Neutral,"""NA""",Neutral,NA
cad_5350,358,"358, 04",Neutral,"""NA""",Neutral,NA
cad_5354,358,"358, 05",Neutral,"""NA""",Neutral,NA
cad_5359,358,"358, 06",Neutral,"""NA""",Neutral,NA
cad_5360,358,"358, 07",Neutral,"""NA""",Neutral,NA
cad_5368,358,"358, 08",Neutral,"""NA""",Neutral,NA
cad_5422,358,"358, 09",Neutral,"""NA""",Neutral,NA
cad_5349,358,"358, 02, 01",Neutral,"""NA""",Neutral,NA
cad_5351,358,"358, 03, 01",Neutral,"""NA""",Neutral,NA
cad_5419,358,"358, 03, 01, 01",Neutral,"""NA""",Neutral,NA
cad_26383,358,358-title,Neutral,"""NA""",Neutral,NA
cad_255,358,358-post,Neutral,"""NA""",Neutral,NA
cad_5492,364,"364, 02",Neutral,"""NA""",Neutral,NA
cad_5544,364,"364, 03",Neutral,"""NA""",Neutral,NA
cad_5494,364,"364, 02, 01",Neutral,"""NA""",Neutral,NA
cad_5573,364,"364, 03, 01",Neutral,"""NA""",Neutral,NA
cad_21850,364,"364, 02, 02",AffiliationDirectedAbuse,AffiliationDirectedAbuse / animosity,AffiliationDirectedAbuse,NA
cad_5498,364,"364, 02, 01, 01",Neutral,"""NA""",Neutral,NA
cad_26389,364,364-title,Neutral,"""NA""",Neutral,NA
cad_260,364,364-post,Neutral,"""NA""",Neutral,NA
cad_5692,384,"384, 06",Neutral,"""NA""",Neutral,NA
cad_5703,384,"384, 08",Neutral,"""NA""",Neutral,NA
cad_5700,384,"384, 07",Neutral,"""NA""",Neutral,NA
cad_5716,384,"384, 09",Neutral,"""NA""",Neutral,NA
cad_5687,384,"384, 05",Neutral,"""NA""",Neutral,NA
cad_5739,384,"384, 10",Neutral,"""NA""",Neutral,NA
cad_5684,384,"384, 03",Neutral,"""NA""",Neutral,NA
cad_5683,384,"384, 02",Neutral,"""NA""",Neutral,NA
cad_5686,384,"384, 04",Neutral,"""NA""",Neutral,NA
cad_5688,384,"384, 05, 01",Neutral,"""NA""",Neutral,NA
cad_5685,384,"384, 02, 01",Neutral,"""NA""",Neutral,NA
cad_5694,384,"384, 04, 01",Neutral,"""NA""",Neutral,NA
cad_5695,384,"384, 06, 01",Neutral,"""NA""",Neutral,NA
cad_5705,384,"384, 08, 01",Neutral,"""NA""",Neutral,NA
cad_5689,384,"384, 05, 01, 01",Neutral,"""NA""",Neutral,NA
cad_21900,384,"384, 08, 01, 01",PersonDirectedAbuse,PersonDirectedAbuse / about a person who is not in the thread,Neutral,NA
cad_5709,384,"384, 06, 01, 01",Neutral,"""NA""",Neutral,NA
cad_5690,384,"384, 02, 01, 01",Neutral,"""NA""",Neutral,NA
cad_26405,384,384-title,Neutral,"""NA""",Neutral,NA
cad_275,384,384-post,Neutral,"""NA""",Neutral,NA
cad_5887,395,"395, 41",Neutral,"""NA""",Neutral,NA
cad_5878,395,"395, 40",Neutral,"""NA""",AffiliationDirectedAbuse,NA
cad_5875,395,"395, 39",Neutral,"""NA""",Neutral,NA
cad_5874,395,"395, 38",Neutral,"""NA""",Neutral,NA
cad_5873,395,"395, 37",Neutral,"""NA""",Neutral,NA
cad_5866,395,"395, 36",Neutral,"""NA""",Neutral,NA
cad_5865,395,"395, 35",Neutral,"""NA""",Neutral,NA
cad_5864,395,"395, 34",Neutral,"""NA""",Neutral,NA
cad_5860,395,"395, 33",Neutral,"""NA""",Neutral,NA
cad_5859,395,"395, 32",Neutral,"""NA""",Neutral,NA
cad_5854,395,"395, 31",Neutral,"""NA""",Neutral,NA
cad_5851,395,"395, 30",Neutral,"""NA""",Neutral,NA
cad_5850,395,"395, 28",Neutral,"""NA""",Neutral,NA
cad_5847,395,"395, 27",Neutral,"""NA""",Neutral,NA
cad_5840,395,"395, 26",Neutral,"""NA""",Neutral,NA
cad_5838,395,"395, 25",Neutral,"""NA""",Neutral,NA
cad_25976,395,"395, 52",AffiliationDirectedAbuse,AffiliationDirectedAbuse / derogation,Neutral,NA
cad_5888,395,"395, 42",Neutral,"""NA""",IdentityDirectedAbuse,NA
cad_5893,395,"395, 43",Neutral,"""NA""",Neutral,NA
cad_5903,395,"395, 44",Neutral,"""NA""",Neutral,NA
cad_21913,395,"395, 29",PersonDirectedAbuse,PersonDirectedAbuse / about a person who is not in the thread,Neutral,NA
cad_21912,395,"395, 14",IdentityDirectedAbuse,IdentityDirectedAbuse / animosity,Neutral,NA
cad_6019,395,"395, 60",Neutral,"""NA""",Neutral,NA
cad_5996,395,"395, 59",Neutral,"""NA""",Neutral,NA
cad_5976,395,"395, 58",Neutral,"""NA""",Neutral,NA
cad_5965,395,"395, 57",Neutral,"""NA""",Neutral,NA
cad_5963,395,"395, 56",Neutral,"""NA""",Neutral,NA
cad_5834,395,"395, 24",Neutral,"""NA""",AffiliationDirectedAbuse,NA
cad_5959,395,"395, 55",Neutral,"""NA""",Neutral,NA
cad_5931,395,"395, 51",Neutral,"""NA""",Neutral,NA
cad_5923,395,"395, 50",Neutral,"""NA""",Neutral,NA
cad_5922,395,"395, 49",Neutral,"""NA""",Neutral,NA
cad_5921,395,"395, 48",Neutral,"""NA""",Neutral,NA
cad_5919,395,"395, 47",Neutral,"""NA""",Neutral,NA
cad_5917,395,"395, 46",Neutral,"""NA""",Neutral,NA
cad_5908,395,"395, 45",Neutral,"""NA""",Neutral,NA
cad_5956,395,"395, 54",Neutral,"""NA""",AffiliationDirectedAbuse,NA
cad_5833,395,"395, 23",Neutral,"""NA""",Neutral,NA
cad_21927,395,"395, 53",IdentityDirectedAbuse,IdentityDirectedAbuse / animosity,Neutral,NA
cad_5831,395,"395, 22",Neutral,"""NA""",Neutral,NA
cad_5802,395,"395, 09",Neutral,"""NA""",Neutral,NA
cad_5797,395,"395, 08",Neutral,"""NA""",Neutral,NA
cad_5796,395,"395, 07",Neutral,"""NA""",Neutral,NA
cad_5818,395,"395, 15",Neutral,"""NA""",Neutral,NA
cad_5820,395,"395, 16",Neutral,"""NA""",Neutral,NA
cad_5821,395,"395, 17",Neutral,"""NA""",Neutral,NA
cad_5795,395,"395, 06",Neutral,"""NA""",Neutral,NA
cad_5814,395,"395, 13",Neutral,"""NA""",Neutral,NA
cad_5791,395,"395, 05",Neutral,"""NA""",Neutral,NA
cad_5790,395,"395, 04",Neutral,"""NA""",Neutral,NA
cad_5811,395,"395, 12",Neutral,"""NA""",Neutral,NA
cad_5823,395,"395, 18",Neutral,"""NA""",Neutral,NA
cad_5827,395,"395, 19",Neutral,"""NA""",Neutral,NA
cad_5808,395,"395, 11",Neutral,"""NA""",Neutral,NA
cad_5805,395,"395, 10",Neutral,"""NA""",Neutral,NA
cad_5788,395,"395, 02",Neutral,"""NA""",Neutral,NA
cad_5830,395,"395, 21",Neutral,"""NA""",Neutral,NA
cad_5828,395,"395, 20",Neutral,"""NA""",Neutral,NA
cad_5789,395,"395, 03",Neutral,"""NA""",Neutral,NA
cad_5804,395,"395, 04, 01",Neutral,"""NA""",Neutral,NA
cad_5806,395,"395, 08, 01",Neutral,"""NA""",Neutral,NA
cad_5916,395,"395, 11, 04",Neutral,"""NA""",Neutral,NA
cad_5912,395,"395, 20, 01",Neutral,"""NA""",Neutral,NA
cad_5924,395,"395, 26, 05",Neutral,"""NA""",Neutral,NA
cad_5926,395,"395, 41, 01",Neutral,"""NA""",Neutral,NA
cad_5911,395,"395, 45, 01",Neutral,"""NA""",Neutral,NA
cad_5928,395,"395, 26, 06",Neutral,"""NA""",Neutral,NA
cad_5929,395,"395, 29, 04",Neutral,"""NA""",Neutral,NA
cad_5930,395,"395, 39, 01",Neutral,"""NA""",Neutral,NA
cad_5803,395,"395, 05, 01",Neutral,"""NA""",Neutral,NA
cad_5934,395,"395, 10, 01",Neutral,"""NA""",Neutral,NA
cad_5960,395,"395, 11, 05",Neutral,"""NA""",Neutral,NA
cad_5939,395,"395, 23, 06",Neutral,"""NA""",Neutral,NA
cad_21921,395,"395, 43, 01",PersonDirectedAbuse,PersonDirectedAbuse / directed to a person in the thread,Neutral,NA
cad_21920,395,"395, 11, 03",PersonDirectedAbuse,PersonDirectedAbuse / about a person who is not in the thread,Neutral,NA
cad_21919,395,"395, 14, 01",IdentityDirectedAbuse,IdentityDirectedAbuse / animosity,Neutral,NA
cad_21916,395,"395, 23, 03",PersonDirectedAbuse,PersonDirectedAbuse / about a person who is not in the thread,Neutral,NA
cad_21915,395,"395, 29, 03",PersonDirectedAbuse,PersonDirectedAbuse / directed to a person in the thread,PersonDirectedAbuse,NA
cad_6030,395,"395, 11, 06",Neutral,"""NA""",Neutral,NA
cad_5938,395,"395, 26, 07",Neutral,"""NA""",Neutral,NA
cad_6025,395,"395, 26, 09",Neutral,"""NA""",Neutral,NA
cad_5793,395,"395, 03, 01",Neutral,"""NA""",Neutral,NA
cad_5962,395,"395, 07, 01",Neutral,"""NA""",Neutral,NA
cad_5905,395,"395, 26, 04",Neutral,"""NA""",Neutral,NA
cad_5957,395,"395, 33, 01",Neutral,"""NA""",Neutral,NA
cad_5942,395,"395, 46, 01",Neutral,"""NA""",Neutral,NA
cad_5940,395,"395, 26, 08",Neutral,"""NA""",Neutral,NA
cad_5979,395,"395, 53, 01",Neutral,"""NA""",Neutral,NA
cad_5904,395,"395, 22, 01",Neutral,"""NA""",Neutral,NA
cad_5807,395,"395, 04, 02",Neutral,"""NA""",Neutral,NA
cad_5881,395,"395, 23, 04",Neutral,"""NA""",Neutral,NA
cad_5870,395,"395, 19, 01",Neutral,"""NA""",Neutral,NA
cad_5871,395,"395, 26, 02",Neutral,"""NA""",Neutral,NA
cad_5863,395,"395, 29, 01",Neutral,"""NA""",Neutral,NA
cad_5809,395,"395, 09, 01",Neutral,"""NA""",Neutral,NA
cad_5872,395,"395, 28, 02",Neutral,"""NA""",Neutral,NA
cad_5862,395,"395, 11, 02",Neutral,"""NA""",Neutral,NA
cad_5822,395,"395, 11, 01",Neutral,"""NA""",Neutral,NA
cad_5877,395,"395, 26, 03",Neutral,"""NA""",Neutral,NA
cad_5813,395,"395, 09, 03",Neutral,"""NA""",Neutral,NA
cad_5879,395,"395, 32, 01",Neutral,"""NA""",Neutral,NA
cad_5825,395,"395, 08, 02",Neutral,"""NA""",Neutral,NA
cad_5869,395,"395, 28, 01",Neutral,"""NA""",Neutral,NA
cad_5852,395,"395, 23, 02",Neutral,"""NA""",Neutral,NA
cad_5826,395,"395, 04, 03",Neutral,"""NA""",Neutral,NA
cad_5868,395,"395, 29, 02",Neutral,"""NA""",Neutral,NA
cad_5892,395,"395, 23, 05",Neutral,"""NA""",Neutral,NA
cad_5812,395,"395, 09, 02",Neutral,"""NA""",Neutral,NA
cad_5849,395,"395, 23, 01",Neutral,"""NA""",Neutral,NA
cad_5891,395,"395, 32, 02",Neutral,"""NA""",Neutral,NA
cad_5844,395,"395, 26, 01",Neutral,"""NA""",Neutral,NA
cad_5883,395,"395, 04, 04",Neutral,"""NA""",Neutral,NA
cad_5829,395,"395, 18, 01",Neutral,"""NA""",Neutral,NA
cad_21922,395,"395, 11, 02, 03",Slur,"""NA""",Neutral,NA
cad_5836,395,"395, 04, 02, 01",Neutral,"""NA""",Neutral,NA
cad_5867,395,"395, 09, 02, 03",Neutral,"""NA""",Neutral,NA
cad_5837,395,"395, 04, 05, 01",Neutral,"""NA""",Neutral,NA
cad_5839,395,"395, 11, 01, 02",Neutral,"""NA""",Neutral,NA
cad_5974,395,"395, 28, 01, 01",Neutral,"""NA""",Neutral,NA
cad_5975,395,"395, 28, 02, 01",Neutral,"""NA""",Neutral,NA
cad_6285,395,"395, 39, 01, 01",Neutral,"""NA""",Neutral,NA
cad_5978,395,"395, 08, 01, 02",Neutral,"""NA""",Neutral,NA
cad_5995,395,"395, 53, 01, 01",IdentityDirectedAbuse,IdentityDirectedAbuse / animosity,Neutral,NA
cad_5855,395,"395, 08, 02, 01",Neutral,"""NA""",Neutral,NA
cad_6017,395,"395, 45, 01, 01",Neutral,"""NA""",Neutral,NA
cad_21914,395,"395, 09, 01, 01",IdentityDirectedAbuse,IdentityDirectedAbuse / animosity,IdentityDirectedAbuse,NA
cad_5845,395,"395, 09, 02, 02",Neutral,"""NA""",Neutral,NA
cad_6026,395,"395, 26, 09, 01",Neutral,"""NA""",Neutral,NA
cad_21917,395,"395, 29, 03, 01",CounterSpeech,CounterSpeech / person-directed,Neutral,NA
cad_5902,395,"395, 26, 02, 01",Neutral,"""NA""",Neutral,NA
cad_5952,395,"395, 26, 02, 02",Neutral,"""NA""",Neutral,NA
cad_5798,395,"395, 03, 01, 01",Neutral,"""NA""",Neutral,NA
cad_5907,395,"395, 26, 03, 03",Neutral,"""NA""",Neutral,NA
cad_5901,395,"395, 26, 03, 02",Neutral,"""NA""",Neutral,NA
cad_5909,395,"395, 22, 01, 01",Neutral,"""NA""",Neutral,NA
cad_5894,395,"395, 26, 03, 01",Neutral,"""NA""",Neutral,NA
cad_5810,395,"395, 08, 01, 01",Neutral,"""NA""",Neutral,NA
cad_5914,395,"395, 11, 03, 01",Neutral,"""NA""",Neutral,NA
cad_5832,395,"395, 11, 01, 01",Neutral,"""NA""",Neutral,NA
cad_5918,395,"395, 43, 01, 01",Neutral,"""NA""",Neutral,NA
cad_5920,395,"395, 11, 01, 03",Neutral,"""NA""",Neutral,NA
cad_5889,395,"395, 11, 02, 02",Neutral,"""NA""",Neutral,NA
cad_21923,395,"395, 23, 03, 01",CounterSpeech,CounterSpeech / person-directed,Neutral,NA
cad_5961,395,"395, 19, 01, 01",Neutral,"""NA""",Neutral,NA
cad_5925,395,"395, 03, 01, 02",Neutral,"""NA""",Neutral,NA
cad_5927,395,"395, 11, 02, 04",Neutral,"""NA""",Neutral,NA
cad_5880,395,"395, 09, 02, 04",Neutral,"""NA""",Neutral,NA
cad_5933,395,"395, 43, 01, 02",Neutral,"""NA""",IdentityDirectedAbuse,NA
cad_5935,395,"395, 23, 02, 01",Neutral,"""NA""",Neutral,NA
cad_5937,395,"395, 32, 02, 01",Neutral,"""NA""",Neutral,NA
cad_5876,395,"395, 11, 02, 01",Neutral,"""NA""",Neutral,NA
cad_5816,395,"395, 09, 02, 01",Neutral,"""NA""",Neutral,NA
cad_5817,395,"395, 09, 03, 01",Neutral,"""NA""",Neutral,NA
cad_5947,395,"395, 11, 02, 05",Neutral,"""NA""",Neutral,NA
cad_5950,395,"395, 26, 03, 04",Neutral,"""NA""",Neutral,NA
cad_5954,395,"395, 26, 03, 05",Neutral,"""NA""",Neutral,NA
cad_5882,395,"395, 32, 01, 01",Neutral,"""NA""",Neutral,NA
cad_5886,395,"395, 18, 01, 01",Neutral,"""NA""",Neutral,NA
cad_26414,395,395-title,Neutral,"""NA""",Neutral,NA
cad_283,395,395-post,Neutral,"""NA""",Neutral,NA
cad_5800,396,"396, 02",Neutral,"""NA""",Neutral,NA
cad_5856,396,"396, 03",Neutral,"""NA""",Slur,NA
cad_26415,396,396-title,Neutral,"""NA""",Neutral,NA
cad_284,396,396-post,Neutral,"""NA""",IdentityDirectedAbuse,NA
cad_6009,407,"407, 02",Neutral,"""NA""",Neutral,NA
cad_21940,407,"407, 03",IdentityDirectedAbuse,IdentityDirectedAbuse / animosity,Neutral,NA
cad_6022,407,"407, 03, 01",Neutral,"""NA""",Neutral,NA
cad_6027,407,"407, 03, 01, 01",Neutral,"""NA""",Neutral,NA
cad_26425,407,407-title,Neutral,"""NA""",Neutral,NA
cad_291,407,407-post,Neutral,"""NA""",Neutral,NA
cad_6388,433,"433, 03",Neutral,"""NA""",Neutral,NA
cad_6795,433,"433, 04",Neutral,"""NA""",Neutral,NA
cad_22012,433,"433, 02",PersonDirectedAbuse,PersonDirectedAbuse / directed to a person in the thread,PersonDirectedAbuse,NA
cad_6797,433,"433, 04, 02",Neutral,"""NA""",Neutral,NA
cad_22013,433,"433, 02, 01",PersonDirectedAbuse,PersonDirectedAbuse / directed to a person in the thread,PersonDirectedAbuse,NA
cad_22130,433,"433, 04, 01",PersonDirectedAbuse,PersonDirectedAbuse / directed to a person in the thread,PersonDirectedAbuse,NA
cad_6374,433,"433, 02, 01, 01",Neutral,"""NA""",Neutral,NA
cad_6963,433,"433, 04, 01, 01",Neutral,"""NA""",Neutral,NA
